#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	0	4	0	4	5	MIRA							Assembled with MIRA
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	92	92	92	92	1	SRMc	85	0	87	0	85	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	111	111	111	111	1	SRMc	85	0	87	85	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	559	559	559	559	1	SRMc	78	0	78	86	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	817	817	817	817	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	898	898	898	898	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1008	1008	1008	1008	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1212	1212	1212	1212	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1256	1256	1256	1256	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1401	1401	1401	1401	1	SRMc	83	83	0	86	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1489	1489	1489	1489	1	IUPc							Strain 'thy1': R
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1489	1489	1489	1489	1	STMS							Solved vote:  / txt (4) A 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1489	1489	1489	1489	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1503	1503	1503	1503	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1505	1505	1505	1505	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1558	1558	1558	1558	1	IUPc							Strain 'thy1': W
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1558	1558	1558	1558	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1558	1558	1558	1558	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1598	1598	1598	1598	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1802	1802	1802	1802	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1837	1837	1837	1837	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1838	1838	1838	1838	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1853	1853	1853	1853	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1893	1893	1893	1893	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1938	1938	1938	1938	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	1987	1987	1987	1987	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	2275	2275	2275	2275	1	IUPc							Strain 'thy1': K
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	2275	2275	2275	2275	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	2275	2275	2275	2275	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	2507	2507	2507	2507	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	2772	2772	2772	2772	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	2916	2916	2916	2916	1	SRMc	83	0	83	0	85	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	3328	3328	3328	3328	1	IUPc							Strain 'thy1': W
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	3328	3328	3328	3328	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	3328	3328	3328	3328	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	3425	3425	3425	3425	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	3553	3553	3553	3553	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	3553	3553	3553	3553	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	3553	3553	3553	3553	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4142	4142	4142	4142	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4269	4269	4269	4269	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4346	4346	4346	4346	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4499	4499	4499	4499	1	SRMc	84	0	84	0	84	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4587	4587	4587	4587	1	SRMc	81	0	81	0	89	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4603	4603	4603	4603	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4603	4603	4603	4603	1	STMS							Solved vote:  / txt (4) C 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4603	4603	4603	4603	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4796	4796	4796	4796	1	IUPc							Strain 'thy1': Y
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4796	4796	4796	4796	1	STMS							Solved vote:  / txt (4) T 30  is in  
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4796	4796	4796	4796	1	UNSc							high
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	4800	4800	4800	4800	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	5123	5123	5123	5123	1	ESDN							
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	5382	5382	5382	5382	1	SRMc	87	87	0	88	0	0	
NC_010976.1|Gyrodactylus_derjavinoides_bb_bb	5675	5675	5675	5675	1	ESDN							
