#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	len	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
KR080729.1|Gyrodactylus_truttae_COI_bb	0	4	0	4	5	MIRA							Assembled with MIRA
KR080712.1|Gyrodactylus_teuchis_COI_bb	0	4	0	4	5	MIRA							Assembled with MIRA
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	3	3	3	3	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	32	32	32	32	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	44	44	44	44	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	44	44	44	44	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	63	63	63	63	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	90	90	90	90	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	98	98	98	98	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	104	104	104	104	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	131	131	131	131	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	221	221	221	221	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	242	242	242	242	1	SRMc	87	0	87	0	90	0	
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	246	246	246	246	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	332	332	332	332	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	350	350	350	350	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	354	354	354	354	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	389	389	389	389	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	461	461	461	461	1	SRMc	82	90	0	82	0	0	
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	467	467	467	467	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	527	527	527	527	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	574	574	574	574	1	SRMc	88	0	88	0	90	0	
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	576	576	576	576	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	650	650	650	650	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	682	682	682	682	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	685	685	685	685	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	688	688	688	688	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	695	695	695	695	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	698	698	698	698	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	701	701	701	701	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	746	746	746	746	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	756	756	756	756	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	786	786	786	786	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	803	803	803	803	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	810	810	810	810	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	816	816	816	816	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	817	817	817	817	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	818	818	818	818	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	846	846	846	846	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	847	847	847	847	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	857	857	857	857	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	863	863	863	863	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	867	867	867	867	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	897	897	897	897	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	899	899	899	899	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	902	902	902	902	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	937	937	937	937	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	982	982	982	982	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	986	986	986	986	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	1048	1048	1048	1048	1	SRMc	84	0	84	0	90	0	
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	1091	1091	1091	1091	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	1098	1098	1098	1098	1	SROc							high
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	1156	1156	1156	1156	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	1174	1174	1174	1174	1	ESDN							
EF446760.1|Gyrodactylus_derjavinoides_COI_bb	1181	1181	1181	1181	1	SROc							high
